time,lookback,model,random_state,MSE_on_val,RMSE_on_val,MAE_on_val,r2score_on_val
2022-11-06 16:46:30,3,lightGBM,11,0.2906009130827065,0.5390741257774356,0.4055233482822221,0.9890578150702966
2022-11-06 16:46:30,3,lightGBM,22,0.2991861889543034,0.5469791485553205,0.406588355796707,0.9886750615691048
2022-11-06 16:46:31,3,lightGBM,33,0.29849673850645053,0.5463485503837734,0.4078383993937059,0.9888115935983693
2022-11-06 16:46:32,3,lightGBM,44,0.2958899678655195,0.5439576894074755,0.4058712430462472,0.9887921407921358
2022-11-06 16:46:32,3,lightGBM,55,0.2911976451718663,0.5396273206314394,0.4058251976008347,0.9889883269312028
2022-11-06 16:46:33,3,lightGBM,66,0.28911250493823853,0.537691830827137,0.40601523478353146,0.989138462484179
2022-11-06 16:46:33,3,lightGBM,77,0.29031538448012706,0.5388092282804063,0.40464178194289535,0.989016190810699
2022-11-06 16:46:34,3,lightGBM,88,0.29468124709313837,0.5428455094160201,0.4051338353828985,0.988866148944762
2022-11-06 16:46:34,3,lightGBM,99,0.2944124657663367,0.5425978858845072,0.4066891856104779,0.9888987299078682
2022-11-06 16:46:35,4,lightGBM,11,0.29380521629609785,0.5420380210797927,0.4077801476134341,0.9889874289445901
2022-11-06 16:46:36,4,lightGBM,22,0.29247651747529885,0.5408109812820916,0.4049567766245092,0.9888897401726382
2022-11-06 16:46:36,4,lightGBM,33,0.29384025930686436,0.5420703453490741,0.4058507256442379,0.9889352908675966
2022-11-06 16:46:37,4,lightGBM,44,0.2942933509365713,0.54248811133201,0.40469146135038675,0.9888386905548545
2022-11-06 16:46:38,4,lightGBM,55,0.29023688128754715,0.5387363745725242,0.40517825267961366,0.9890156337092672
2022-11-06 16:46:38,4,lightGBM,66,0.293596940588324,0.5418458642347692,0.40622334591827475,0.9889823728434518
2022-11-06 16:46:39,4,lightGBM,77,0.29595792657537406,0.5440201527290823,0.40658139306904667,0.9888285757408557
2022-11-06 16:46:40,4,lightGBM,88,0.28857347332092387,0.5371903511055685,0.4046690289747375,0.9890579828279359
2022-11-06 16:46:40,4,lightGBM,99,0.2926051356429218,0.5409298805232724,0.4050243154535574,0.9889398720800858
2022-11-06 16:46:41,5,lightGBM,11,0.28850857148510184,0.5371299391070115,0.40516294052615065,0.9891539688091866
2022-11-06 16:46:42,5,lightGBM,22,0.28998280685405275,0.5385005170415835,0.40303345583978517,0.9889877798090267
2022-11-06 16:46:42,5,lightGBM,33,0.297314395800699,0.5452654360957597,0.4066959333344277,0.9888190207159446
2022-11-06 16:46:43,5,lightGBM,44,0.2986075995419752,0.5464499972934168,0.4041039240424328,0.9886578974888546
2022-11-06 16:46:44,5,lightGBM,55,0.2860303487178223,0.5348180519745218,0.40356742424997927,0.9891862698974603
2022-11-06 16:46:44,5,lightGBM,66,0.2872766212907998,0.5359819225410497,0.4057142138546176,0.9891681735524106
2022-11-06 16:46:45,5,lightGBM,77,0.29345236358353716,0.5417124362459635,0.405536471622175,0.9889160170480215
2022-11-06 16:46:46,5,lightGBM,88,0.297924376200525,0.5458244921222617,0.4057719551172402,0.9887695835144582
2022-11-06 16:46:46,5,lightGBM,99,0.2925093661603674,0.5408413502686046,0.40615624450233667,0.9889691317341837
2022-11-06 16:46:47,6,lightGBM,11,0.2900881931617016,0.538598359783709,0.4064308033311058,0.9891174313804442
2022-11-06 16:46:47,6,lightGBM,22,0.29299281087370693,0.5412881033919986,0.4047299405214829,0.9888807335067699
2022-11-06 16:46:48,6,lightGBM,33,0.2992581756432933,0.547044948467028,0.4077016924392003,0.9887909813189231
2022-11-06 16:46:49,6,lightGBM,44,0.2948952516260304,0.5430425873041915,0.4051888112257609,0.988804638609933
2022-11-06 16:46:49,6,lightGBM,55,0.2896667420848075,0.5382069695617175,0.40471307832039166,0.9890439846560717
2022-11-06 16:46:50,6,lightGBM,66,0.2913133595665408,0.5397345269357342,0.4052710348449009,0.9890619637362057
2022-11-06 16:46:51,6,lightGBM,77,0.28753437395022363,0.5362223176539966,0.4037613823509238,0.9891184160514395
2022-11-06 16:46:51,6,lightGBM,88,0.29515123169398966,0.5432782267807074,0.40555382217574015,0.9888601414246413
2022-11-06 16:46:52,6,lightGBM,99,0.29561491936710416,0.5437048090343731,0.40699780453244716,0.9888709732793876
2022-11-06 16:46:52,7,lightGBM,11,0.2926305570836588,0.540953377920555,0.40585547202379446,0.988992487647077
2022-11-06 16:46:53,7,lightGBM,22,0.2924827668481228,0.5408167590303787,0.40480458632917404,0.9889139587074144
2022-11-06 16:46:54,7,lightGBM,33,0.29609073806829883,0.5441422039028941,0.40706536554669365,0.988849688894325
2022-11-06 16:46:54,7,lightGBM,44,0.2916276233007407,0.540025576524613,0.4039220674113664,0.9889124235015121
2022-11-06 16:46:55,7,lightGBM,55,0.28665184271222716,0.535398769808287,0.4036401677645853,0.9891077553575607
2022-11-06 16:46:56,7,lightGBM,66,0.2891217376894726,0.5377004163002597,0.4058179696737862,0.9891055976198646
2022-11-06 16:46:56,7,lightGBM,77,0.29183979377511365,0.540221985645821,0.40521679988549075,0.9889598842262624
2022-11-06 16:46:57,7,lightGBM,88,0.2920841839991625,0.5404481325707052,0.4047609642074419,0.9889580202028769
2022-11-06 16:46:58,7,lightGBM,99,0.2937720966021993,0.5420074691387557,0.40487118580978715,0.98890584657947
2022-11-06 16:46:58,8,lightGBM,11,0.2844984571702633,0.5333839678601742,0.40456633605148395,0.9892825939891435
2022-11-06 16:46:59,8,lightGBM,22,0.2915736087279031,0.5399755630840187,0.40377297728792366,0.9889130199834201
2022-11-06 16:46:59,8,lightGBM,33,0.2974666379784702,0.5454050219593419,0.40699997056751136,0.9888207466598473
2022-11-06 16:47:00,8,lightGBM,44,0.2911652052619275,0.5395972620963968,0.4041485459130019,0.9889236661966306
2022-11-06 16:47:01,8,lightGBM,55,0.28890259595652296,0.5374966008790408,0.40407573416735404,0.9890317519588021
2022-11-06 16:47:01,8,lightGBM,66,0.29024886617036383,0.5387474976000945,0.40632584872203575,0.9891005956737855
2022-11-06 16:47:02,8,lightGBM,77,0.2882348264261001,0.5368750566250029,0.40434153156919395,0.9890697984033309
2022-11-06 16:47:03,8,lightGBM,88,0.29886552762233143,0.5466859497209814,0.40632805305356257,0.9887477341508938
2022-11-06 16:47:03,8,lightGBM,99,0.2952400402135028,0.5433599545545318,0.40596248345598956,0.9888803772140166
2022-11-06 16:47:04,9,lightGBM,11,0.288584429370363,0.5372005485573921,0.40520168418744906,0.9891577627699425
2022-11-06 16:47:05,9,lightGBM,22,0.2922063803848952,0.5405611717325757,0.4049262162733121,0.9889396763368598
2022-11-06 16:47:05,9,lightGBM,33,0.2946978570899361,0.5428608082095595,0.40646355138998097,0.9888903160733045
2022-11-06 16:47:06,9,lightGBM,44,0.30032745253528376,0.5480213978808526,0.40419002305794866,0.9886050726229803
2022-11-06 16:47:06,9,lightGBM,55,0.28502487288058664,0.5338772076803678,0.40384091892482116,0.9891632840507809
2022-11-06 16:47:07,9,lightGBM,66,0.28377757012150784,0.5327077717862841,0.40534223114457746,0.9893226799426746
2022-11-06 16:47:08,9,lightGBM,77,0.28923306701654605,0.5378039299006154,0.40506650398001753,0.9890346474949555
2022-11-06 16:47:08,9,lightGBM,88,0.29262532188025275,0.5409485390314431,0.40579286294418954,0.9889494606066971
2022-11-06 16:47:09,9,lightGBM,99,0.29067707418964905,0.5391447618123069,0.4054049014488539,0.9890258167749031
2022-11-06 16:47:10,10,lightGBM,11,0.2875156757018852,0.5362048822063122,0.4045098471692804,0.9891811041653693
2022-11-06 16:47:10,10,lightGBM,22,0.29243604932482614,0.5407735656675778,0.40502329033287676,0.9889350374356349
2022-11-06 16:47:11,10,lightGBM,33,0.2951891668531777,0.543313138855649,0.40672817092359054,0.9889014368855958
2022-11-06 16:47:12,10,lightGBM,44,0.2904656072131453,0.5389486127759726,0.40464725552374664,0.9889766185806201
2022-11-06 16:47:12,10,lightGBM,55,0.2872198373930204,0.5359289480826916,0.4045412164267388,0.9891215703272713
2022-11-06 16:47:13,10,lightGBM,66,0.2887075995410889,0.5373151770991481,0.4062697387530869,0.9891716155501052
